protein,refseq_genbank_entry,predicted_pfam,pfam_definition,cluster_genome_accn,cluster_phage
YP_010662294.1,YP_010662294.1 hypothetical protein PP938_gp144 [Rhizobium phage AF3],PF11520,Chromatin protein Cren7,NC_070887,Rhizobium phage AF3
YP_010662309.1,YP_010662309.1 baseplate hub assembly catalyst [Rhizobium phage AF3],PF06569,Protein of unknown function (DUF1128),NC_070887,Rhizobium phage AF3
YP_010662316.1,YP_010662316.1 hypothetical protein PP938_gp166 [Rhizobium phage AF3],PF10965,Protein of unknown function (DUF2767),NC_070887,Rhizobium phage AF3
YP_010662329.1,YP_010662329.1 hypothetical protein PP938_gp179 [Rhizobium phage AF3],PF03887,YfbU domain,NC_070887,Rhizobium phage AF3
YP_010662335.1,YP_010662335.1 hypothetical protein PP938_gp185 [Rhizobium phage AF3],PF04269,Protein of unknown function DUF440,NC_070887,Rhizobium phage AF3
YP_010662343.1,YP_010662343.1 hypothetical protein PP938_gp193 [Rhizobium phage AF3],PF17376,Family of unknown function (DUF5398),NC_070887,Rhizobium phage AF3
YP_010662363.1,YP_010662363.1 hypothetical protein PP938_gp213 [Rhizobium phage AF3],PF03257,Mycoplasma adhesin P1 C-terminal,NC_070887,Rhizobium phage AF3
YP_010662367.1,YP_010662367.1 hypothetical protein PP938_gp217 [Rhizobium phage AF3],PF03206,Nitrogen fixation protein NifW,NC_070887,Rhizobium phage AF3
YP_010662376.1,YP_010662376.1 hypothetical protein PP938_gp226 [Rhizobium phage AF3],PF10965,Protein of unknown function (DUF2767),NC_070887,Rhizobium phage AF3
YP_010662395.1,YP_010662395.1 hypothetical protein PP938_gp245 [Rhizobium phage AF3],PF17624,Family of unknown function,NC_070887,Rhizobium phage AF3
YP_010662406.1,YP_010662406.1 hypothetical protein PP938_gp256 [Rhizobium phage AF3],PF06569,Protein of unknown function (DUF1128),NC_070887,Rhizobium phage AF3
YP_010662408.1,YP_010662408.1 hypothetical protein PP938_gp258 [Rhizobium phage AF3],PF02711,E4 protein,NC_070887,Rhizobium phage AF3
YP_010662413.1,YP_010662413.1 hypothetical protein PP939_gp005 [Rhizobium phage RL38J1],PF10788,Protein of unknown function (DUF2603),NC_070888,Rhizobium phage RL38J1
YP_010662429.1,YP_010662429.1 hypothetical protein PP939_gp021 [Rhizobium phage RL38J1],PF03744,6-carboxyhexanoate--CoA ligase,NC_070888,Rhizobium phage RL38J1
YP_010662433.1,YP_010662433.1 hypothetical protein PP939_gp025 [Rhizobium phage RL38J1],PF17466,Family of unknown function,NC_070888,Rhizobium phage RL38J1
YP_010662460.1,YP_010662460.1 hypothetical protein PP939_gp052 [Rhizobium phage RL38J1],PF06786,Uncharacterised protein family (UPF0253),NC_070888,Rhizobium phage RL38J1
YP_010662489.1,YP_010662489.1 hypothetical protein PP939_gp081 [Rhizobium phage RL38J1],PF06569,Protein of unknown function (DUF1128),NC_070888,Rhizobium phage RL38J1
YP_010662490.1,YP_010662490.1 hypothetical protein PP939_gp082 [Rhizobium phage RL38J1],PF17073,Two-component-system connector protein,NC_070888,Rhizobium phage RL38J1
YP_010662499.1,YP_010662499.1 hypothetical protein PP939_gp091 [Rhizobium phage RL38J1],PF09400,Protein of unknown function (DUF2002),NC_070888,Rhizobium phage RL38J1
YP_010662504.1,YP_010662504.1 hypothetical protein PP939_gp096 [Rhizobium phage RL38J1],PF16855,Small outer capsid protein,NC_070888,Rhizobium phage RL38J1
YP_010662512.1,YP_010662512.1 hypothetical protein PP939_gp104 [Rhizobium phage RL38J1],PF05528,Accessory protein 5b avian coronavirus,NC_070888,Rhizobium phage RL38J1
YP_010662527.1,YP_010662527.1 hypothetical protein PP939_gp119 [Rhizobium phage RL38J1],PF03206,Nitrogen fixation protein NifW,NC_070888,Rhizobium phage RL38J1
YP_010662528.1,YP_010662528.1 hypothetical protein PP939_gp120 [Rhizobium phage RL38J1],PF10709,Protein of unknown function (DUF2511),NC_070888,Rhizobium phage RL38J1
YP_010662539.1,YP_010662539.1 hypothetical protein PP939_gp131 [Rhizobium phage RL38J1],PF20543,N2-fixation sustaining protein CowN,NC_070888,Rhizobium phage RL38J1
YP_010662546.1,YP_010662546.1 hypothetical protein PP939_gp138 [Rhizobium phage RL38J1],PF06855,YozE SAM-like fold,NC_070888,Rhizobium phage RL38J1
YP_010662547.1,YP_010662547.1 hypothetical protein PP939_gp139 [Rhizobium phage RL38J1],PF10705,Chloroplast protein precursor Ycf15 putative,NC_070888,Rhizobium phage RL38J1
YP_010662566.1,YP_010662566.1 hypothetical protein PP939_gp158 [Rhizobium phage RL38J1],PF03622,IBV 3B protein,NC_070888,Rhizobium phage RL38J1
YP_010662597.1,YP_010662597.1 hypothetical protein PP939_gp189 [Rhizobium phage RL38J1],PF10622,Energy-converting hydrogenase B subunit P (EhbP),NC_070888,Rhizobium phage RL38J1
YP_010662607.1,YP_010662607.1 hypothetical protein PP939_gp199 [Rhizobium phage RL38J1],PF15938,Domain of unknown function (DUF4750),NC_070888,Rhizobium phage RL38J1
YP_010662613.1,YP_010662613.1 hypothetical protein PP939_gp205 [Rhizobium phage RL38J1],PF11480,Colicin-E5 Imm protein,NC_070888,Rhizobium phage RL38J1
YP_010662620.1,YP_010662620.1 hypothetical protein PP939_gp212 [Rhizobium phage RL38J1],PF05798,Bacteriophage FRD3 protein,NC_070888,Rhizobium phage RL38J1
YP_010662626.1,YP_010662626.1 hydrolase [Rhizobium phage RL38J1],PF01242,6-pyruvoyl tetrahydropterin synthase,NC_070888,Rhizobium phage RL38J1
YP_010662629.1,YP_010662629.1 hypothetical protein PP939_gp221 [Rhizobium phage RL38J1],PF15933,Antitoxin to bacterial toxin RNase LS or RnlA,NC_070888,Rhizobium phage RL38J1
YP_010662660.1,YP_010662660.1 hypothetical protein PP939_gp252 [Rhizobium phage RL38J1],PF06988,NifT/FixU protein,NC_070888,Rhizobium phage RL38J1
YP_010662663.1,YP_010662663.1 hypothetical protein PP939_gp255 [Rhizobium phage RL38J1],PF05798,Bacteriophage FRD3 protein,NC_070888,Rhizobium phage RL38J1
YP_010662681.1,YP_010662681.1 hypothetical protein PP940_gp003 [Rhizobium phage RL2RES],PF06390,Neuroendocrine-specific golgi protein P55 (NESP55),NC_070889,Rhizobium phage RL2RES
YP_010662694.1,YP_010662694.1 hypothetical protein PP940_gp016 [Rhizobium phage RL2RES],PF06855,YozE SAM-like fold,NC_070889,Rhizobium phage RL2RES
YP_010662701.1,YP_010662701.1 hypothetical protein PP940_gp023 [Rhizobium phage RL2RES],PF06183,DinI-like family,NC_070889,Rhizobium phage RL2RES
YP_010662725.1,YP_010662725.1 hypothetical protein PP940_gp047 [Rhizobium phage RL2RES],PF16857,RNA polymerase inhibitor,NC_070889,Rhizobium phage RL2RES
YP_010662727.1,YP_010662727.1 hypothetical protein PP940_gp049 [Rhizobium phage RL2RES],PF06076,Orthopoxvirus F14 protein,NC_070889,Rhizobium phage RL2RES
YP_010662732.1,YP_010662732.1 hypothetical protein PP940_gp054 [Rhizobium phage RL2RES],PF06569,Protein of unknown function (DUF1128),NC_070889,Rhizobium phage RL2RES
YP_010662736.1,YP_010662736.1 hypothetical protein PP940_gp058 [Rhizobium phage RL2RES],PF06988,NifT/FixU protein,NC_070889,Rhizobium phage RL2RES
YP_010662742.1,YP_010662742.1 hypothetical protein PP940_gp064 [Rhizobium phage RL2RES],PF10828,Protein of unknown function (DUF2570),NC_070889,Rhizobium phage RL2RES
YP_010662749.1,YP_010662749.1 hypothetical protein PP940_gp071 [Rhizobium phage RL2RES],PF13957,Toxin YafO type II toxin-antitoxin system,NC_070889,Rhizobium phage RL2RES
YP_010662757.1,YP_010662757.1 hypothetical protein PP940_gp079 [Rhizobium phage RL2RES],PF06301,Bacteriophage lambda Kil protein,NC_070889,Rhizobium phage RL2RES
YP_010662761.1,YP_010662761.1 hypothetical protein PP940_gp083 [Rhizobium phage RL2RES],PF06569,Protein of unknown function (DUF1128),NC_070889,Rhizobium phage RL2RES
YP_010662779.1,YP_010662779.1 hypothetical protein PP940_gp101 [Rhizobium phage RL2RES],PF04467,Protein of unknown function (DUF483),NC_070889,Rhizobium phage RL2RES
YP_010662788.1,YP_010662788.1 hypothetical protein PP940_gp110 [Rhizobium phage RL2RES],PF01618,MotA/TolQ/ExbB proton channel family,NC_070889,Rhizobium phage RL2RES
YP_010662796.1,YP_010662796.1 aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B [Rhizobium phage RL2RES],PF00831,Ribosomal L29 protein,NC_070889,Rhizobium phage RL2RES
YP_010662802.1,YP_010662802.1 hypothetical protein PP940_gp124 [Rhizobium phage RL2RES],PF01815,Rop protein,NC_070889,Rhizobium phage RL2RES
YP_010662803.1,YP_010662803.1 hypothetical protein PP940_gp125 [Rhizobium phage RL2RES],PF17604,Family of unknown function (DUF5500),NC_070889,Rhizobium phage RL2RES
YP_010662806.1,YP_010662806.1 hypothetical protein PP940_gp128 [Rhizobium phage RL2RES],PF06174,Protein of unknown function (DUF987),NC_070889,Rhizobium phage RL2RES
YP_010662809.1,YP_010662809.1 hypothetical protein PP940_gp131 [Rhizobium phage RL2RES],PF07401,Bovine Lentivirus VIF protein,NC_070889,Rhizobium phage RL2RES
YP_010662812.1,YP_010662812.1 hypothetical protein PP940_gp134 [Rhizobium phage RL2RES],PF08041,PetM family of cytochrome b6f complex subunit 7,NC_070889,Rhizobium phage RL2RES
YP_010662832.1,YP_010662832.1 hypothetical protein PP940_gp154 [Rhizobium phage RL2RES],PF03206,Nitrogen fixation protein NifW,NC_070889,Rhizobium phage RL2RES
YP_010662840.1,YP_010662840.1 hypothetical protein PP940_gp162 [Rhizobium phage RL2RES],PF05082,Rop-like,NC_070889,Rhizobium phage RL2RES
YP_010662856.1,YP_010662856.1 hypothetical protein PP940_gp178 [Rhizobium phage RL2RES],PF17550,Family of unknown function,NC_070889,Rhizobium phage RL2RES
YP_010662858.1,YP_010662858.1 hypothetical protein PP940_gp180 [Rhizobium phage RL2RES],PF04363,Protein of unknown function (DUF496),NC_070889,Rhizobium phage RL2RES
YP_010662859.1,YP_010662859.1 hypothetical protein PP940_gp181 [Rhizobium phage RL2RES],PF08181,DegQ (SacQ) family,NC_070889,Rhizobium phage RL2RES
YP_010662862.1,YP_010662862.1 hypothetical protein PP940_gp184 [Rhizobium phage RL2RES],PF17346,Family of unknown function (DUF5376),NC_070889,Rhizobium phage RL2RES
YP_010662863.1,YP_010662863.1 hypothetical protein PP940_gp185 [Rhizobium phage RL2RES],PF09701,CRISPR-associated protein (Cas_Cmr5),NC_070889,Rhizobium phage RL2RES
YP_010662868.1,YP_010662868.1 hypothetical protein PP940_gp190 [Rhizobium phage RL2RES],PF05421,Protein of unknown function (DUF751),NC_070889,Rhizobium phage RL2RES
YP_010662871.1,YP_010662871.1 hypothetical protein PP940_gp193 [Rhizobium phage RL2RES],PF11089,Exopolysaccharide production repressor,NC_070889,Rhizobium phage RL2RES
YP_010662891.1,YP_010662891.1 hypothetical protein PP940_gp213 [Rhizobium phage RL2RES],PF01661,Macro domain,NC_070889,Rhizobium phage RL2RES
YP_010662907.1,YP_010662907.1 tail fiber protein [Rhizobium phage RL2RES],PF03903,Phage T4 tail fibre,NC_070889,Rhizobium phage RL2RES
YP_010662922.1,YP_010662922.1 putative RNA chaperone [Rhizobium phage RL2RES],PF06074,Protein of unknown function (DUF935),NC_070889,Rhizobium phage RL2RES
YP_010662929.1,YP_010662929.1 hypothetical protein PP940_gp251 [Rhizobium phage RL2RES],PF10664,Cyanobacterial and plastid NDH-1 subunit M,NC_070889,Rhizobium phage RL2RES
YP_010662935.1,YP_010662935.1 hypothetical protein PP940_gp257 [Rhizobium phage RL2RES],PF10922,Bacteriophage T7-like gene 1.2,NC_070889,Rhizobium phage RL2RES
YP_010663022.1,YP_010663022.1 hypothetical protein PP992_gp35 [Gordonia phage Pons],PF03295,Poxvirus trans-activator protein A1 C-terminal,NC_070891,Gordonia phage Pons
YP_010663025.1,YP_010663025.1 MerR-like helix-turn-helix DNA binding domain protein [Gordonia phage Pons],PF07471,Phage DNA packaging protein Nu1,NC_070891,Gordonia phage Pons
YP_010663059.1,YP_010663059.1 hypothetical protein PP992_gp72 [Gordonia phage Pons],PF02079,Nuclear transition protein 1,NC_070891,Gordonia phage Pons
YP_010663096.1,YP_010663096.1 hypothetical protein PP993_gp35 [Gordonia phage Mayweather],PF10809,Protein of unknown function (DUF2732),NC_070892,Gordonia phage Mayweather
YP_010663097.1,YP_010663097.1 hypothetical protein PP993_gp36 [Gordonia phage Mayweather],PF13825,Paramyxovirus structural protein V/P N-terminus,NC_070892,Gordonia phage Mayweather
YP_010663130.1,YP_010663130.1 hypothetical protein PP993_gp69 [Gordonia phage Mayweather],PF08052,PyrBI operon leader peptide,NC_070892,Gordonia phage Mayweather
YP_010663131.1,YP_010663131.1 hypothetical protein PP993_gp70 [Gordonia phage Mayweather],PF02512,Virulence determinant,NC_070892,Gordonia phage Mayweather
YP_010663173.1,YP_010663173.1 hypothetical protein PP994_gp38 [Gordonia phage CherryonLim],PF04703,FaeA-like protein,NC_070893,Gordonia phage CherryonLim
YP_010663182.1,YP_010663182.1 dCMP deaminase [Gordonia phage CherryonLim],PF00383,Cytidine and deoxycytidylate deaminase zinc-binding region,NC_070893,Gordonia phage CherryonLim
YP_010663206.1,YP_010663206.1 hypothetical protein PP994_gp71 [Gordonia phage CherryonLim],PF14760,Rnk N-terminus,NC_070893,Gordonia phage CherryonLim
YP_010663222.1,YP_010663222.1 tail length tape measure protein [Gordonia phage Lauer],PF01464,Transglycosylase SLT domain,NC_070894,Gordonia phage Lauer
YP_010663232.1,YP_010663232.1 hypothetical protein PP995_gp25 [Gordonia phage Lauer],PF04787,Late protein H7,NC_070894,Gordonia phage Lauer
YP_010663256.1,YP_010663256.1 hypothetical protein PP995_gp49 [Gordonia phage Lauer],PF05322,NINE Protein,NC_070894,Gordonia phage Lauer
YP_010663296.1,YP_010663296.1 hypothetical protein PP996_gp23 [Gordonia phage SheckWes],PF03304,Mlp lipoprotein family,NC_070895,Gordonia phage SheckWes
YP_010663327.1,YP_010663327.1 hypothetical protein PP996_gp54 [Gordonia phage SheckWes],PF08026,Bee antimicrobial peptide,NC_070895,Gordonia phage SheckWes
YP_010663335.1,YP_010663335.1 hypothetical protein PP996_gp62 [Gordonia phage SheckWes],PF06569,Protein of unknown function (DUF1128),NC_070895,Gordonia phage SheckWes
YP_010663339.1,YP_010663339.1 hypothetical protein PP996_gp66 [Gordonia phage SheckWes],PF09645,F-112 protein,NC_070895,Gordonia phage SheckWes
YP_010663340.1,YP_010663340.1 hypothetical protein PP996_gp67 [Gordonia phage SheckWes],PF07208,Protein of unknown function (DUF1414),NC_070895,Gordonia phage SheckWes
YP_010663353.1,YP_010663353.1 head maturation protease [Gordonia phage BigChungus],PF04233,Phage Mu protein F like protein,NC_070896,Gordonia phage BigChungus
YP_010663373.1,YP_010663373.1 hypothetical protein PP997_gp25 [Gordonia phage BigChungus],PF10729,Cell division activator CedA,NC_070896,Gordonia phage BigChungus
YP_010663378.1,YP_010663378.1 hypothetical protein PP997_gp30 [Gordonia phage BigChungus],PF12283,Bacteriophage protein K,NC_070896,Gordonia phage BigChungus
YP_010663412.1,YP_010663412.1 hypothetical protein PP997_gp64 [Gordonia phage BigChungus],PF10733,Protein of unknown function (DUF2525),NC_070896,Gordonia phage BigChungus
YP_010663417.1,YP_010663417.1 hypothetical protein PP997_gp69 [Gordonia phage BigChungus],PF17356,Phage-like element PBSX protein XtrA,NC_070896,Gordonia phage BigChungus
YP_010663437.1,YP_010663437.1 minor tail protein [Gordonia phage Vine],PF09228,Prokaryotic Transcriptional repressor TraM,NC_070897,Gordonia phage Vine
YP_010663450.1,YP_010663450.1 hypothetical protein PP998_gp33 [Gordonia phage Vine],PF06006,Bacterial protein of unknown function (DUF905),NC_070897,Gordonia phage Vine
YP_010663452.1,YP_010663452.1 hypothetical protein PP998_gp35 [Gordonia phage Vine],PF11520,Chromatin protein Cren7,NC_070897,Gordonia phage Vine
YP_010663496.1,YP_010663496.1 scaffolding protein [Streptococcus phage SW22],PF06810,Phage minor structural protein GP20,NC_070898,Streptococcus phage SW22
YP_010663520.1,YP_010663520.1 replication protein [Streptococcus phage SW22],PF07261,Replication initiation and membrane attachment,NC_070898,Streptococcus phage SW22
YP_010663642.1,YP_010663642.1 tail length tape measure protein [Streptococcus phage CHPC577],PF18013,Phage tail lysozyme,NC_070901,Streptococcus phage CHPC577
YP_010663651.1,YP_010663651.1 hypothetical protein PQA02_gp26 [Streptococcus phage CHPC577],PF09701,CRISPR-associated protein (Cas_Cmr5),NC_070901,Streptococcus phage CHPC577
YP_010663673.1,YP_010663673.1 hypothetical protein PQA02_gp48 [Streptococcus phage CHPC577],PF04135,Nucleolar RNA-binding protein Nop10p family,NC_070901,Streptococcus phage CHPC577
YP_010663703.1,YP_010663703.1 tail length tape-measure protein [Escherichia phage 11W],PF20155,Tape measure protein,NC_070902,Escherichia phage 11W
YP_010663709.1,YP_010663709.1 transcriptional regulator [Escherichia phage 11W],PF12728,Helix-turn-helix domain,NC_070902,Escherichia phage 11W
YP_010663718.1,YP_010663718.1 hypothetical protein PQA54_gp43 [Escherichia phage 11W],PF00753,Metallo-beta-lactamase superfamily,NC_070902,Escherichia phage 11W
YP_010663771.1,YP_010663771.1 hypothetical protein PQA56_gp09 [Peduovirus P2],PF10809,Protein of unknown function (DUF2732),NC_070904,Escherichia phage SIAC10
YP_010663848.1,YP_010663848.1 hypothetical protein PQA58_gp01 [Peduovirus P2],PF04860,Phage portal protein,NC_070906,Escherichia phage SIDE7
YP_010663854.1,YP_010663854.1 minor tail protein [Peduovirus P2],PF17399,Domain of unknown function (DUF5405),NC_070906,Escherichia phage SIDE7
YP_010664005.1,YP_010664005.1 putative RES protein- NAD+ binding domain [Escherichia phage Cartapus],PF08808,RES domain,NC_070909,Escherichia phage Cartapus
YP_010664010.1,YP_010664010.1 cell division inhibitor [Escherichia phage Cartapus],PF06174,Protein of unknown function (DUF987),NC_070909,Escherichia phage Cartapus
YP_010664011.1,YP_010664011.1 DUF2732 domain-containing protein [Escherichia phage Cartapus],PF14760,Rnk N-terminus,NC_070909,Escherichia phage Cartapus
YP_010664019.1,YP_010664019.1 hypothetical protein PQA62_gp01 [Burkholderia phage FLC10],PF10911,Bacteriophage T7-like gene 6.5,NC_070910,Burkholderia phage FLC10
YP_010664020.1,YP_010664020.1 hypothetical protein PQA62_gp02 [Burkholderia phage FLC10],PF01051,Initiator Replication protein WH1,NC_070910,Burkholderia phage FLC10
YP_010664031.1,YP_010664031.1 Rz-like spanin [Burkholderia phage FLC10],PF03245,Bacteriophage Rz lysis protein,NC_070910,Burkholderia phage FLC10
YP_010664058.1,YP_010664058.1 hypothetical protein PQA62_gp40 [Burkholderia phage FLC10],PF03206,Nitrogen fixation protein NifW,NC_070910,Burkholderia phage FLC10
YP_010664072.1,YP_010664072.1 Rz-like spanin [Salmonella phage BIS20],PF10872,Protein of unknown function (DUF2740),NC_070911,Salmonella phage BIS20
YP_010664092.1,YP_010664092.1 protein dhr [Salmonella phage BIS20],PF03206,Nitrogen fixation protein NifW,NC_070911,Salmonella phage BIS20
YP_010664113.1,YP_010664113.1 holin [Burkholderia phage PhiBP82.2],PF17368,Spore morphogenesis and germination YwcE,NC_070912,Burkholderia phage PhiBP82.2
YP_010664135.1,YP_010664135.1 hypothetical protein PQA64_gp35 [Burkholderia phage PhiBP82.2],PF08936,Carboxysome Shell Carbonic Anhydrase C-terminal,NC_070912,Burkholderia phage PhiBP82.2
YP_010664142.1,YP_010664142.1 hypothetical protein PQA64_gp42 [Burkholderia phage PhiBP82.2],PF00556,Antenna complex alpha/beta subunit,NC_070912,Burkholderia phage PhiBP82.2
YP_010664167.1,YP_010664167.1 replication protein [Yersinia phage vB_YenM_42.18],PF05840,Bacteriophage replication gene A protein (GPA),NC_070913,Yersinia phage vB_YenM_42.18
YP_010664322.1,YP_010664322.1 hypothetical protein PQA68_gp07 [Yersinia phage vB_YenM_06.16-2],PF10809,Protein of unknown function (DUF2732),NC_070916,Yersinia phage vB_YenM_06.16-2
YP_010664327.1,YP_010664327.1 tum protein [Yersinia phage vB_YenM_06.16-2],PF12283,Bacteriophage protein K,NC_070916,Yersinia phage vB_YenM_06.16-2
YP_010664330.1,YP_010664330.1 hypothetical protein PQA68_gp15 [Yersinia phage vB_YenM_06.16-2],PF05313,Poxvirus P21 membrane protein,NC_070916,Yersinia phage vB_YenM_06.16-2
YP_010664370.1,YP_010664370.1 transcriptional regulator [Yersinia phage vB_YenM_324],PF05129,Transcription elongation factor Elf1 like,NC_070917,Yersinia phage vB_YenM_324
